,Latitude,Longitude,Stop_Name,Status
0,40.806106,-73.942481,5 AV/W 125 ST,at stop
1,40.818624,-73.937455,MALCOLM X BL/W 142 ST,at stop
2,40.821249,-73.936079,146 ST/LENOX AV,approaching
3,40.80071,-73.946417,5 AV/W 116 ST,approaching
4,40.821014,-73.935888,MALCOLM X BL/W 145 ST,approaching
5,40.745958,-73.986356,5 AV/W 29 ST,approaching
6,40.817422,-73.938512,W 139 ST/MALCOLM X BL,approaching
7,40.747353,-73.985345,5 AV/W 31 ST,approaching
8,40.779744,-73.961717,5 AV/EAST 81 ST,< 1 stop away
9,40.779822,-73.96166,5 AV/EAST 81 ST,< 1 stop away
10,40.750588,-73.980894,MADISON AV/E 40  ST,< 1 stop away
