,Latitude,Longitude,Stop_Name,Status
0,40.772181,-73.965128,MADISON AV/E 72 ST,at stop
1,40.757736,-73.975681,MADISON AV/E 49 ST,at stop
2,40.747567,-73.98519,5 AV/W 33 ST,at stop
3,40.825775,-73.94348,ST NICHOLAS AV/W 148 ST,at stop
4,40.736678,-73.98882,PARK AV S/E 18 ST,at stop
5,40.840678,-73.93957,ST NICHOLAS AV/W 167 ST,at stop
6,40.786935,-73.954382,MADISON AV/E 95 ST,at stop
7,40.801112,-73.959574,MANHATTAN AV/CATHEDRAL PY,approaching
8,40.736331,-73.993373,5 AV/W 13 ST,approaching
9,40.795759,-73.947933,E 110 ST/MADISON AV,approaching
10,40.78627,-73.956955,5 AV/EAST 92 ST,approaching
11,40.848317,-73.934466,ST NICHOLAS AV/W 178 ST,approaching
12,40.800284,-73.957395,CATHEDRAL PY/FRED DOUGLASS BL,approaching
13,40.830162,-73.941647,ST NICHOLAS AV/W 152 ST,< 1 stop away
14,40.858222,-73.925917,ST NICOLAS AV/FORT GEORGE HILL,< 1 stop away
15,40.780353,-73.961273,5 AV/EAST 81 ST,< 1 stop away
16,40.844557,-73.937212,ST NICHOLAS AV/W 176 ST,< 1 stop away
17,40.839638,-73.940066,ST NICHOLAS AV/W 164 ST,< 1 stop away
